name,type,city,district,dong,address,phone,households,source,verifiedAt
수원한일타운,아파트,수원시,장안구,조원동,경기 수원시 장안구 경수대로976번길 22,031-244-0255,5282,샘플CSV,2026-05-14
동탄메타폴리스,주상복합,화성시,,반송동,경기 화성시 동탄중앙로 200,031-613-3114,,샘플CSV,2026-05-14
오산세교자이,아파트,오산시,,세교동,경기 오산시 세교동,031-374-4410,,샘플CSV,2026-05-14
수원역가온팰리스,오피스텔,수원시,팔달구,매산로,경기 수원시 팔달구 매산로,031-297-3410,,샘플CSV,2026-05-14
